My underwear is dirty.	我的內衣髒了
You don't want to be an editor?	你不想做编辑？
Tom has been here since 2013.	湯姆從2013年起一直在這裡。
Have you ever been to America?	你去過美國嗎？
The company spends a lot of money on advertising.	那家公司在广告上花了很多钱。
It's going to rain this evening.	今天晚上會下雨。
How long does it take?	要花多久時間？
He has gone to Hokkaido.	他去北海道了。
I like fish.	我喜欢鱼。
May I have a talk with you?	我能和你谈谈吗？
Tom didn't return my phone calls.	湯姆沒有回我的電話。
Don't shout at me.	別對著我吼。
She's Tom's older sister.	她是Tom的姐姐。
Just take it slowly.	慢慢来。
I ran a race with him.	我和他比賽跑步。
Water the flowers before you have breakfast.	吃早餐之前先澆花。
When can we eat, I wonder.	我不知道我們什麼時候可以吃。
I could hear doors slamming.	我可以聽見門砰砰作響。
I have just washed all the dishes.	我剛洗了所有的碗盤。
Thank you for your translation.	謝謝你的翻譯。
Nobody wants you to do that.	没人想要你那样做。
I can't believe that.	我不能相信。
They must have had an accident.	他們一定發生了意外。
I couldn't understand anything that he said.	我不了解他所說的事情。
Where is the nearest police station?	最近的警察局在哪里？
She gave me whatever help I needed.	她給了我任何我需要的幫助。
Does Tom have a job?	汤姆有工作吗？
I'm thinking about you.	我突然想到你。
His office is on the eighth floor.	他的辦公室在八樓。
Does Tom have to be there?	湯姆必須在那裡嗎？
Shall I close the door?	我應該把門關上嗎?
It seems we are in the same boat.	看起来我们是在一条船上。
The money has not been used up.	钱还没用完。
I believe that story.	我相信那个故事。
He has three sons.	他有三个儿子。
You had better be careful not to overeat.	你最好小心不要吃過量。
This factory manufactures CD players.	这家工厂生产CD机。
They'll kill you.	他們要殺你。
The old man made out his will.	這位老先生立了他的遗嘱。
I need to know tomorrow.	我明天需要知道。
She took care of the poor little bird.	她照顾可怜的小鸟。
I haven't seen him for years.	我有些年没见过他了。
Would you lend me your knife?	你可以借我你的刀嗎?
Don't let anyone press this button.	別讓任何人按這個按鈕。
The novel ends with the heroine's death.	小说以女主角的死告终。
It may never happen.	它可能從沒發生過。
I like tea.	我喜欢茶。
Tom was crying.	汤姆当时在哭。
The matter is all settled.	這個問題都被解決了。
I will come with you.	我會和你一起去。
Watch him and do what he does.	看著他並跟著他做。
Tom crushed the garlic.	汤姆捣碎了大蒜。
Everything is bad.	一切都很糟糕。
You can use my car if you like.	如果你喜歡你可以用我的車。
I don't like school.	我不喜欢学校。
After a storm comes a calm.	暴風過後是寧靜。
She was promoted.	她晉升了。
They left one after another.	他们一个接着一个地离开了。
Why did you come here?	你為什麼來這裡？
You look very pale.	你看上去很苍白。
They're in danger.	他們有危險。
I was brought up in the country.	我在鄉下被撫養長大。
He plays the guitar well.	他吉他彈得很好。
Kobe is famous for its port.	神戶是著名的港口。
I can't believe you're giving up.	我不能相信你在放弃。
The girl was afraid to jump down from the roof.	小女孩害怕从屋顶上跳下来。
He turned down my offer.	他拒絕了我的提議。
Well, the night is quite long, isn't it?	夜晚很长，不是吗？
His mother was a school teacher.	他的母親是一名學校老師。
I haven't seen you for ages. Do you remember when I saw you last?	好久不见了。记得上次我什么时候看见你的吗？
I really need to read all this.	我真的需要把这都读了。
I don't wish to harm you.	我不想傷害你。
He keeps his room clean.	他保持他的房間乾淨。
I'll write to you soon.	我會盡快寫信給你。
We have our own problems to solve.	我们有自己的问题要解决。
You'll be confused.	你會困惑。
Can you play the piano?	你會彈鋼琴嗎？
There are several ways to measure speed.	测速的方法有很多。
My family goes skiing every winter.	我的家人每年冬天去滑雪。
The horse stopped and refused to go any further.	馬停了下來，而且拒絕移動。
I will never forget the day when I first met him.	我永远不会忘记那天我第一次与他见面。
We're special.	我们是特别的。
Tom and Mary switched places on the bench.	汤姆和玛丽在长凳上交换了位置。
I have nothing to say.	我没什么可说的。
Without the slightest hesitation, he sold his own car.	他毫不犹豫地把自己的车卖了。
Half a loaf is better than none.	聊勝於無、有比沒有好。
I discovered the truth.	我發現了真相。
I'll never stop.	我絕不會停。
I took the fact for granted.	我忽略了事实。
I want to die.	我想死
I had a feeling this might happen.	我早就有感覺到這可能會發生。
This is not a sentence.	這不是一個句子。
She acknowledged that my statement was true.	她承認我的聲明是真實的。
He is too drunk to drive home.	他喝酒醉無法開車回家。
The man is loading the moving truck on his own.	這個男人獨自把東西搬上搬家卡車上。
I'm much better today than yesterday.	我今天覺得比昨天好多了。
He has a nice income.	他收入可观。
I'll bring my sister to the party.	我會帶我妹妹去派對。
I want to move out of this cramped room as soon as I can.	我想尽快从这个不透气的屋子里出去。
The blanket is still wet.	这个毯子还是湿的。
She wore a red dress.	她穿了一条红色的裙子。
Let's not watch TV.	我們不要看電視吧。
That is your book.	那是你的書。
Who do you want to speak to?	你想跟誰說話？
Did you visit the Tower of London?	你參觀倫敦塔了嗎？
I think that's awful.	我看那糟透了。
He gave her a piece of advice.	他給了她一個忠告。
What happened to Tom could happen to you.	湯姆身上發生的事也可能發生到你身上。
I like the way she laughs at my jokes.	我喜欢她因我的笑话而欢笑的样子。
I live in a big city.	我住在一个大城市里。
"When will you come back?" "It all depends on the weather."	“你什么时候回来？”“这都要看天气。”
Mary showed the letter to me.	瑪麗給我看了這封信。
Who's going to believe that?	谁会信呢？
He is good at driving.	他擅長駕駛。
We're doing the best we can.	我们尽力而为。
Spell your name, please.	请拼一下您的名字。
I am very interested in French.	我對法語很感興趣。
Lincoln died in 1865.	林肯於1865年去世。
My watch is very accurate.	我的手錶很準。
He left his glasses at our place.	他把眼镜落在我们这里了。
Here's the map you are looking for.	你正在找的地圖在這裡。
Tom hasn't talked to Mary in years.	汤姆多年没有和玛丽说话了。
This is really terrible.	这真可怕。
Pay the cashier on the way out.	在出口處的收银台付款。
She is older and wiser now.	她現在更加年長也更加有智慧。
I continued working.	我繼續工作。
Leave the room as it is.	保留原狀地離開房間。
They took our passports.	他們拿了我們的護照。
I took a day off last week.	上週我休了一天的假。
She lived for a long time.	她活了很久。
I called her up.	我叫她起来。
That accident was due to his carelessness.	那事故是他的粗心导致的。
Is there someone that can drive?	有人会开车吗？
All subscriptions must be paid before the end of this year.	所有訂購必須在今年年底前支付款項。
How lovely!	多可爱啊！
I asked him to mend my shoes.	我請他修理我的鞋子。
She smiled at her baby.	她對著她的孩子微笑。
He's a big boy.	他是個大男孩。
Throw the ball back to me.	把球丟還給我。
What'll actually happen is anyone's guess.	誰也說不準實際上將會發生什麼事。
He is still here.	他还在这儿。
I admit that he is right.	我承认他是对的。
Could you please tell me again why you are late?	你能再向我解释一遍你为什么迟到了吗？
Yes, I know it.	是的，我知道。
We have less than five minutes to evacuate the whole building.	我们有不到五分钟来疏散整栋楼的人。
I'm talking about my friend.	我在談我的朋友。
I don't really read newspapers.	我不太看报纸。
I can't even remember what Tom looks like.	我甚至不能记起来汤姆长什么样。
I can neither confirm nor deny that.	我即不能确认也不能否定。
They're self-sufficient.	他们自给自足。
I think he's a great writer.	我认为他是位伟大的作家。
Have you finished your homework?	你做完作業了嗎？
Leaving something unfinished is the worst thing you can do.	半途而废是你所能做的最糟糕的事情。
I will ask him about it tomorrow, then.	那我明天会问他的。
I wish I had a car.	但願我有一輛車。
Where did you get your hair cut?	你在哪裡剪頭髮？
Tom is waiting in the living room.	汤姆正在客厅里等着。
I promise.	我向你保证。
You should have done it earlier. It cannot be helped now.	你本应该早点做的。现在已经没有任何办法了。
There wasn't anybody in the house.	沒有人在家。
It's okay to take it easy sometimes.	有時可以放輕鬆一下。
I've got a frog in my throat.	我緊張得說不出話來了。
She is always dressed in black.	她總是穿著黑色的衣服。
Something may have happened to him.	他可能發生了什麼事情。
I'll think it over carefully.	我会深思熟虑。
Get off your high horse, Tom.	别那么趾高气扬，汤姆。
Did you notice anything strange?	你注意到奇怪的地方了嗎？
Mary tied an apron around her waist and then took the turkey out of the oven.	Mary试图把围裙围在腰上，然后把烤鸡从炉子里拿出来。
It's time to eat lunch.	午餐時間到了。
It's almost time for the cherry blossoms.	幾乎是櫻花綻放的時候了。
Is it true Tom can't read or write?	汤姆真的不会读也不会写吗？
What did he ask you?	他問你什麼？
I want to be a computer programmer.	我想做一个程序员。
The number of people on Facebook is greater than the population of the United States.	Facebook的用戶比美國人口還多。
The law is quite clear.	法律很清楚。
Why don't you want to tell us the truth?	為甚麼你不想告訴我們真相？
Do you want some rice?	你們要米飯嗎？
Who were you talking to?	你跟誰說話呢？
Some say that China was like a Russian colony.	有人說中國像是俄國的殖民地。
You should stay at home today.	你今天應該待在家裡。
Keep it at a lower temperature.	保持在較低的溫度。
Cutting a cake into equal pieces is rather difficult.	把蛋糕等分切開更難。
Tom plays chess very well.	汤姆下棋下得很好。
If I were to tell you all I know, you would be amazed.	要是我告诉你我所知的一切，你会被惊呆的。
I'm too busy to go.	我太忙了不能去。
No fewer than 50 passengers were killed.	不下50个乘客死了。
I have no time.	我没时间。
All of them are not poor.	他们都不穷。
I think this book is worth reading.	我覺得這本書值得一讀。
It hasn't been easy for Tom to deal with Mary's health problems.	处理玛丽的健康问题对汤姆来说不容易。
Tom hugged Mary.	汤姆拥抱了玛丽。
Perhaps she will come tomorrow.	也許她明天會來。
A good idea suddenly came to me.	我的大腦裏突然出現了一個很好的想法。
I'd like to know the phone number of the nearest American Express office.	我想知道最近的美國運通辦事處的電話號碼。
He threw a rock into the pond.	他扔了一塊石頭到池塘裡。
You are a good painter, aren't you?	你是個很棒的畫家，不是嗎？
It's likely to rain all weekend.	可能整個週末都下雨。
An aging population will require more spending on health care.	老龄化的人口需要更多医疗保健支出。
He failed the exam, but he doesn't care too much.	他考试失败了，但他不太在意。
How did you get back so soon?	你怎么回来得这么快？
Where were you yesterday morning?	你昨天上午在哪裡?
Our new home has an elevator.	我們的新家有一臺電梯。
Please don't speak so fast.	請不要說得這麼快。
Tom is in the living room.	汤姆在起居室里。
You didn't tell me Mary was so beautiful.	你没告诉我玛丽这么漂亮。
He likes to smoke in the toilet.	他喜欢在厕所里吸烟。
Many people were waiting in line.	許多人在排隊等候。
Is there anyone in the room?	屋里有人吗？
They had a rest for a while.	他們休息了一會兒。
He always keeps his room clean.	他總是把他的房間保持乾淨。
Are you crying?	你在哭嗎？
Do you keep in contact with your high school classmates?	你还和你的高中同学保持联系吗？
That isn't fair.	這不公平。
We were bored.	我们感到厌烦了。
Maybe that won't happen.	也許那沒有發生。
Strange to say, he didn't know the news.	说来奇怪，他不知道这个消息。
They'll understand that.	他們會明白。
I'll reconsider the matter.	我會重新考慮此事。
Please translate this sentence into Japanese.	請把這句話翻譯成日文。
We are here in the name of Jesus Christ and King Charles.	我們這裡以耶穌基督和查理斯國王之名。
The box wasn't empty.	箱子不是空的。
We divided the money between us.	我們平分這筆錢。
One's new. The other's old.	一个是新的，另一个是旧的。
I turned the doorknob.	我轉動了門把。
Tom gets up at six every morning.	湯姆每天早上六點起床。
He's always been kind to me.	他总是对我很亲切。
I bought this camera yesterday.	我昨天買了這台相機。
He traveled all over the world.	他周遊世界各地。
Can I see this one?	我能看看這個嗎？
He told me an interesting story.	他告訴了我一個有趣的故事。
What a beautiful flower!	多漂亮的花啊!
The end justifies the means.	為了正當目的可以不擇手段。
I don't want everyone to think I'm stupid.	我不想讓任何人認為我傻。
I asked her out on a date.	我請她出去約會。
This is an exception to the rule.	这是一个例外。
Playing tennis is a lot of fun.	打網球很有趣。
He is very brave.	他很勇敢。
I'll try harder next time.	下次我會更加努力。
Thanks for the updates.	谢谢提供新消息。
How do you make a box?	你怎么做箱子？
What did you do with your shoes?	你把你的鞋怎么了？
She always dresses in black.	她總是穿著黑色的衣服。
I am getting off at the next station.	我在下一站下车。
He had to clean his room.	他不得不打扫了他的房间。
This is smaller than that.	这个比那个更小。
She is very clever.	她很聰明。
My brother would often stay up all night reading novels.	我哥哥經常熬夜看小說。
I didn't have lunch today.	我今天沒吃午餐。
Zero comes before one.	零在一前面。
Sir, that CD is available only by special order.	先生，那盘CD需要预定才有。
The room smelled of tobacco.	房里闻起来有股烟味。
Why isn't that good?	那為甚麼不好？
Coffee will be served after the meal.	咖啡將會在餐後供應。
I'll let Tom tell you.	我会让汤姆告诉你。
The train arrived ten minutes behind time.	列車晚到了十分鐘。
You'll miss me when I'm gone.	我走了你会想我。
We're going to have a test today.	我們今天將有一個考試。
This is worth one million yen.	這值100萬日元。
Right now, we have blueberries, blackberries, cherries, strawberries, peaches and nectarines.	現在我們有藍莓、黑莓、櫻桃、草莓、桃子和油桃。
We're old friends.	我们是老朋友了。
This is a problem you have to solve by yourself.	这是一个你必须自己解决的问题。
I have two cats.	我有两只猫。
Tom used a fire extinguisher to try and put the fire out.	湯姆試著用滅火器把火撲滅。
That's very rare.	那太稀少了。
It is going to snow.	要下雪了。
The accident's only survivor was a baby.	这场灾难的唯一幸存者是一个婴儿。
I didn't tell anyone what time I'd be arriving.	我沒跟別人說過我什麼時候會到。
Bread is made from wheat.	麵包是用小麥做成的。
Everybody saw it.	每個人都看見了。
Is there any mail for me today?	今天有給我的郵件嗎？
She lost a book.	她弄丟了一本書。
Grab that.	抓住那个。
Everything's ready.	一切就绪。
Please pardon me for coming late.	抱歉那么晚来。
My room is a pigsty.	我房间是个猪窝。
She married again in her mid-forties.	她在四十多歲的時候再次結婚。
Can I make a reservation for golf?	我能预定一下打高尔夫球吗？
He is very stingy with his money.	他非常吝啬。
They skip school all the time.	他們總是逃學。
Action speaks louder than words, but not nearly as often.	行胜于言，但并不是所有情况都是这样。
The sun sets earlier in the winter.	在冬天，太阳下山比往常更早。
He shook hands with his friend.	他和他的朋友握手。
Would you mind closing the window?	你介意我關窗戶嗎？
Where is my watch?	我的手錶在哪裡？
I am going to play tennis.	我要去打網球。
I get two hour's exercise every day.	我每天做兩個小時的運動。
The situation has become hopeless.	情況變得沒有希望了。
He doesn't know how to swim.	他不会游泳。
It's time for dinner.	吃晚飯的時間到了。
I suppose I'd better phone Tom.	我想我给汤姆打电话比较好。
They say that golf is very popular in Japan.	他们说高尔夫在日本很流行。
I used to eat like a pig.	我曾经像猪一样吃。
I'm old.	我老了。
My heart was filled with happiness.	我心里充满着快乐。
Tom says he's very rich.	湯姆說他很有錢。
My apartment is on the fourth floor.	我的公寓在四樓。
I have no intention of asking him.	我不想問他。
In the light of what you told us, I think we should revise our plan.	根据你所说的话，我认为我们应该重新审视我们的计划。
My foot hurts.	我的脚痛。
Which is your favorite team?	你最喜歡哪一隊?
I don't think she cares very much.	我不认为她很在意。
The recent shortage of coffee has given rise to a lot of problems.	近来咖啡的短缺造成了许多问题。
I'm going to the bank.	我要去银行了。
I think I'm right.	我想我是對的。
She went to the museum by taxi.	她搭計程車去博物館了。
I'm looking for a part-time job.	我正在找一份兼職的工作。
I'm almost finished reading this book.	我就要读完这本书了。
My father is an office worker.	我父親是一名辦公室職員。
She asked me a question.	她問了我一個問題。
Do you want more?	你想要更多嗎？
He confused us.	他把我們弄糊塗了。
Tom seems tough.	汤姆看来难缠。
Tom pretended to not hear a thing.	汤姆假装没听见。
Everybody talks about the weather, but nobody does anything about it.	每個人都在談論天氣, 但是沒有人為它做任何事情。
At least tell me where you're going.	至少告诉我们你要去哪里。
Are you satisfied now?	你現在滿意了嗎？
They've decided to get married next month.	他們已經決定下個月結婚。
It's cold.	天很冷。
I know the boy standing over there.	我知道站在那裡的那個男孩。
Is this your pencil?	這是你的鉛筆嗎？
Parents love their children.	父母爱自己的孩子。
There are four seasons in one year.	一年有四季。
Don't be silly. I can't do it.	别犯傻。我能做到。
I got the roller skates for nothing.	我免費得到溜冰鞋。
He is beginning to lose his hair.	他开始掉头发了。
He did not get up early.	他没有早起。
My whole family's from Boston.	我全家來自波士頓。
This is my mother.	这是我母亲。
China is twenty times as large as Japan.	中国是日本的20倍大。
There were lots of people.	有很多人。
I understand perfectly.	我完全明白。
I am getting off at the next station.	我下一站下车。
My memory failed me. I just could not remember his name.	我的記性不好。我簡直不記得他的名字了。
The paint was coming off the wall.	油漆從牆上脫落。
I hiccup a lot.	我经常打嗝。
He likes to travel by himself.	他喜歡獨自旅行。
I have an egg.	我有一只蛋。
Tom was the one that told us about the problem.	湯姆是告訴我們問題的人。
He doesn't like coffee.	他不喜歡喝咖啡。
Do you have a fever?	你發燒了嗎？
I don't want to hear any more of your complaining.	我不想再听你抱怨了。
I have nothing more to do today.	我今天沒有更多的事要做的了。
He didn't mean to hurt you.	他不是故意要傷害你。
Do whatever you think is right.	做你認為正確的事。
Tom hoped that Mary wouldn't die.	汤姆希望玛丽别死。
Sometimes I have to read boring novels.	有时候，我不得不读一些无聊的小说。
I agreed with him on the plan.	對於這個計劃我同意他的意見。
He is likely to win the game.	他有可能赢得比赛。
Give me something to write on.	給我一些我可以在上面寫字的東西。
Having lived in Tokyo, I know the city well.	因为住过东京，我对这个城市非常了解。
You'll find it difficult to meet her requirements.	你会发现难以满足她。
He visited his uncle yesterday.	昨天他拜訪了他的叔叔。
It's not that simple.	它沒有那麼簡單。
Are there any famous musicians on the stage?	舞台上有著名音乐家吗？
Tom says he's not feeling any better.	Tom说他感觉不舒服。
Give this book to whoever wants it.	把這本書給想要的人。
Tom knew Mary wouldn't let him down.	汤姆知道玛丽不会让他失望。
Your shirt button is coming off.	你衬衣的纽扣快掉了。
He's new in town.	他刚来这镇上。
I dare say he is right.	我敢说他是对的。
I won't need any help.	我不需要任何帮助。
She is going to Mount Tate.	她將去立山。
Tom hasn't missed any of Mary's concerts.	汤姆没有错过一场玛丽的音乐会。
I will stay until tomorrow.	我会待到明天。
Please write with a pencil.	請用鉛筆寫。
Let me make you some tea.	讓我給你沏茶。
How do you feel about the issue?	你對這個問題有甚麼感受？
When does it arrive?	它什么时候到？
Are you looking for work?	你在找工作吗？
He denied having written to me.	他否認曾寫信給我。
He meets his girlfriend on Saturdays.	他每週六和他的女朋友見面。
Sunday is not a workday for me.	我在星期日不工作。
It won't take much time.	不會花很多時間的。
There's no use crying over spilt milk.	為打翻的牛奶而哭泣是沒用的。
You don't have a fever.	你没发烧。
Tom was never happy.	湯姆從不高興。
It's been a long time since we last saw each other.	真是好久不见啊
Your manners aren't very good.	你的舉止不是很好。
I didn't know who Tom was at first.	我一开始不知道汤姆是谁。
Where's my father?	我父亲在哪里？
People who break the law are punished.	觸犯法律的人受到懲罰。
Are you busy on Sunday afternoon?	你週日下午忙嗎？
Smoking is not permitted on the train.	不允許在火車上吸煙。
You go to school, don't you?	你去上學，不是嗎?
She spends her leisure time making dolls.	她利用空闲时间做布娃娃。
Let me try another one.	让我试试别的。
I received her letter yesterday.	昨天我收到了她的信。
Why do you need to read such a book?	为什么你要读这样一本书？
Learning English requires patience.	學英語需要耐性。
Let's take a walk in the park.	讓我們在公園裡散步吧。
They gave us very little trouble.	他們幾乎不給我們添麻煩。
I agree to your proposal.	我同意你的建議。
The drug problem is international.	毒品是国际性的问题。
What time will you leave?	你什么时候离开？
Hang your coat on the hook.	把你的外套掛在鉤子上。
I'll scold him.	我會責備他。
The moonlight is really beautiful.	月光真美。
This is the lady who wants to see you.	這位就是誰想見你的夫人。
I'm taking an exam in January.	我一月份要参加考试。
I miss Boston.	我想念波士頓。
He hasn't come yet. He must have missed the bus.	他还没来。他肯定错过公交车了。
After a couple of drinks, the guy was feeling no pain.	喝了幾杯酒後，這個傢伙就感覺不痛了。
The firemen soon put out the fire.	消防隊員很快就把火撲滅了。
I seem to be unlucky today.	我今天看來很幸運。
Tom told me he was coming back.	湯姆告訴我他正在回來。
She pulled him out of the mud.	她把他从烂泥中拽出来了。
I'll go by myself.	我會自己走。
I paid $200 in taxes.	我付了兩百元含稅。
Do you like Japanese food?	你喜欢日本菜吗？
She has put on weight recently.	她最近增加了體重。
How long will you be in Japan?	你會在日本多久?
Turn the flame down low.	把火轉小一點。
How do you pronounce this word?	你们怎么读这个词？
I usually go to bed before ten.	我通常在十點前上床睡覺。
I don't know for certain.	我不太確定。
Tom is now a software engineer.	湯姆現在是軟體工程師。
There are no clouds in the sky.	天上没有云。
The talks will last three days.	这场谈话将要持续三天。
Tom and Mary ended 30 years of marriage.	汤姆和玛丽结束了三十年的婚姻。
It's really dark here. I can't see anything.	這裡真的很暗，我什麼都看不到。
I swim once a week.	我每周游一次泳。
You don't need to call me.	你不必打电话给我。
She filled her bag with apples.	她在她的袋子裡裝滿了蘋果。
He has at least one thousand books.	他至少有一千本書。
She greeted me with a smile.	她用一个微笑迎接了我。
You've given me good advice.	你給了我很好的建議。
Our school begins at eight-thirty.	我們學校在八點半開始上課。
Is someone knocking on the door?	有人敲门吗？
About how long will it take to get there by bus?	搭公車到那裡大約要花多久的時間？
It was very nice seeing you again.	非常高興再次見到你。
That's a shame.	那是一個恥辱。
I don't have anyone who'd travel with me.	我没有一个愿意跟我一起旅行的人。
Your voice reminds me of my late grandmother.	我的声音让我想起了我已故的祖母。
My eyes hurt.	我的眼睛痛。
Everything is ready.	一切就绪。
Is there a discount if you pay in cash?	用現金付的話會有折扣嗎?
Tom was questioned by the police.	汤姆被警察盘问。
I just want to know what actually happened.	我只想知道实际上发生了什么。
My watch is five minutes slow.	我的錶慢了五分鐘。
Will you show me what you bought?	你愿意给我看看你买了什么吗？
Don't let Tom die.	別讓湯姆死了。
These shoes are hers.	這些鞋是她的。
She squeezed the juice from many oranges.	她榨了許多柳橙汁。
I am amazed at your audacity.	我对你的大胆感到很惊讶。
Hunger is the best sauce.	对于一个饥饿的人来说，任何食物都是美味。
I'm used to staying up late.	我习惯晚睡。
I wish I were rich.	但願我很有錢。
Please put the book on the shelf.	請把書放在架子上。
He is in trouble.	他有麻烦。
Fish is sold by the pound here.	魚在這裡是以磅為單位來出售。
I think it's time for me to buy a house.	我想我該是時候買間房子了。
I don't know how to handle children.	我不知道如何對待孩子。
Would you please look after the children?	你可以照顧一下孩子們嗎?
Once he had written the letter, he sent it.	信一写好，他就把它寄了。
What are you going to do tomorrow?	你明天要做什麼？
You don't get up as early as your sister, do you?	你比你妹妹起得晚，不是么？
Tom is the tallest in his family.	湯姆是他家裡最高的。
I woke up early.	我起得早。
My bike was stolen last night.	昨晚我的自行车被偷了。
Don't worry about the past.	不要担心过去。
I'm not jealous.	我不嫉妒。
This piano is really cheap.	這鋼琴真便宜。
The old man got in her way.	這個老人擋了她的路。
That white parasol is hers.	那把白色阳伞是她的。
I dove into the river.	我跳进了河里。
She wrote a book about the bird.	她写了一本关于鸟类的书。
As soon as the bell rang the teacher came into the classroom.	鐘聲一響起，老師就走進了教室。
It was through his influence that she became interested in ecology.	她开始对生态学感兴趣，是受到他的影响。
Tell me what to do with it.	告诉我拿它做什么。
She takes private piano lessons.	她上私人鋼琴課。
What made you come here so early?	什麼原因讓你這麼早來這裡？
Welcome to our home.	欢迎来到我们家。
He and his wife tried to work out their problems, but couldn't.	他和他的妻子試圖解決他們的問題，但沒有辦法。
Just then, the bus stopped.	就在那时，公交车停住了。
Stay off the grass.	不要走在草地上。
Where do we go?	我们去哪儿？
A bird in the hand is better than two in the bush.	一鳥在手勝過二鳥在林。
She gave us some useful information.	她給了我們一些有用的訊息。
I have to get to the hospital.	我得去医院。
I guess that would be all right.	我想那應該沒關係的。
That's the reason I bought this book.	那是我買這本書的原因。
I go to bed very early.	我很早就去睡覺。
I've enjoyed reading this novel.	我喜歡讀這本小說。
Can you save Tom?	你能救汤姆吗？
I filled up the vase with water.	我倒水進去花瓶裡。
It is cruel of him to say such things to her.	他跟她说这样的话真是太残忍了。
He may have missed the train.	他可能错过了火车。
Everybody will die.	人固有一死。
Tom has to protect himself.	汤姆得保护自己。
I work for three hours every Sunday morning.	我每个周末早上工作三小时。
Have you been to London before?	你以前去過倫敦嗎？
Congratulations!	恭喜！
I want you to work harder.	我希望你更加努力地工作。
Mary set the basket on the table.	瑪麗把籃子放在桌子上了。
It doesn't surprise me.	这并不让我惊讶。
You nearly poked me in the eye with your pencil.	你的鉛筆差點戳到我的眼睛了。
They referred to Chaucer as the father of English poetry.	他們視喬叟為英詩之父。
I ate the apple.	我吃了這個蘋果。
My father goes for a walk every morning.	我父親每天早上都跑步。
The missing cat has not been found yet.	失踪的猫还没被找到。
I am blind in the right eye.	我的右眼瞎了。
She graduated from Kobe University.	她畢業於神戶大學。
I don't know the meaning of this word.	我不知道这个词的意思。
What have you done with my bag?	你用我的袋子做了什麼？
You were treated unfairly.	你被不公平地對待。
He married a very pretty girl.	他娶了一個很漂亮的女孩。
He was ill, so he couldn't come.	他病了，所以他不能來。
She got through her work before five.	她在五點鐘前做完了她的工作。
I competed with him for the championship.	我和他競爭冠軍。
When I was your age, Pluto was a planet.	當我在你這個年紀時，冥王星是行星。
I thought my head would explode.	我觉得我的头要炸了。
While you are reading to me, I can do my sewing.	你读给我听的时候，我就可以做缝纫了。
They are at lunch.	他们在吃午饭。
I don't understand what you are saying.	我不了解你在說什麼。
What's new?	有什么新鲜事吗？
Tom said Mary is shy.	湯姆說瑪麗害羞。
You'd better not go out.	你最好不要出門。
The conference ended at five.	會議在五點鐘結束。
They went to the station by car.	他們開車去車站。
Tom asked me about you.	汤姆向我问起你。
We sometimes swim in the lake.	我們偶爾在湖裡游泳。
There was no one left but me.	除了我没有人離開。
No comment.	无可奉告。
Tom said he wasn't ready, but Mary said she was.	汤姆说他没准备好，但玛丽说她准备好了。
I am Finnish, but I speak also Swedish.	我是芬兰人，但我也说瑞典语。
Tom is really gifted.	湯姆真有才華。
I know the feeling.	我知道那種感覺。
Let's drive to the lake.	讓我們開車到湖邊。
Tomorrow's weather should be sunny with occasional rain.	明天天气晴转阵雨。
She was reading a gardening manual.	她正在讀一本園藝手冊。
Tom took a step backward.	汤姆后退一步。
All you have to do is take advantage of this rare opportunity.	你所要做的便是好好把握這千載難逢的機會。
Go back to your seat.	回到你的座位。
I lost my job and I have no money. I'm at my wit's end.	我失業又沒錢。真不知該何去何從。
Sport knows no borders.	体育无国界。
This book is too difficult for you to read.	这本书对你来说读起来太难了。
I want my dinner brought to my room.	我想要我的晚餐送到房间里来。
I have no knife to cut with.	我沒有刀子可用來切。
I found the secret compartment quite by accident.	我完全是在偶然的情况下发现了密室。
My fingers are so numb with cold that I can't play the piano.	我的手指冻僵了，以至于无法弹钢琴了。
Who were you talking to?	你和谁说话呢？
I'm still the boss here.	我仍是这里的老板。
Mary dyed her hair blue.	瑪麗把她的頭髮染成藍色。
Whose car is this?	這是誰的車？
You've been late for school more often than before.	你比以前更容易上課遲到了。
I am curious.	我很好奇。
This whisky is very strong.	这种威士忌太烈了。
I like May the best of all the months.	所有月份中我最喜歡五月。
That doesn't make sense.	这没有任何意义。
Tom can't tell Mary his real feelings.	汤姆不能把他的真实感受告诉玛丽。
After he had graduated from the university, he taught English for two years.	從他大學畢業以後, 他教了兩年的英語。
We're out of tissue paper, so I've got to go buy some.	衛生紙用完了，我必須去買。
This book was easy.	這本書很容易。
I'm losing my grip.	我失去了控制。
Tom wrote us postcards.	Tom寫明信片給我們。
What's wrong with my plan?	我的計畫有問題嗎？
Why do you need change?	你為什麼需要零錢?
I've just had lunch.	我剛吃過午飯。
He speaks both English and French.	他會講英語和法語。
What are you going to do today?	你今天要做什麼?
Did you feed the dog this morning?	你今天早上喂过狗了吗？
He is likely to arrive soon.	他可能很快就到了。
Whether he comes or not, I'll go.	不論他來或不來，我都會去。
Feel free to ask any questions.	尽管提问。
She found a job as a typist.	她找到了一份打字員的工作。
I am accustomed to working hard.	我习惯辛勤努力地工作。
What do you think about it?	你認為如何?
You can stay here till the snow stops.	你可以在這裡等到雪停。
I am playing volleyball now.	我现在在打排球。
The capital of Japan is Tokyo.	日本的首都是东京。
You'll get used to living here in no time.	你很快就会习惯住在这里。
There's been a death in his family.	他的家不幸有人身亡。
Tom headed out the door.	汤姆向门走去。
Something is wrong with my watch.	我的錶出了毛病。
How is the weather?	天氣怎樣？
There are many people in the park.	公园里有很多人。
She is good at playing tennis.	她擅長打網球。
